property_id,lat,lng,addr_street,suburb,number_of_houses,number_of_units,municipality,population,aus_born_perc,median_income,median_house_price,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
94713,-37.923343,145.050533,120 Tucker Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,1.3378680481777276,32.0,1
94913,-37.926662,145.041409,164 Patterson Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.5480036752850378,32.0,1
95192,-37.929297,145.033664,22 Harding Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.48819584201652083,32.0,1
95970,-37.921626,145.039283,56 Mitchell Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,0.5090178710084045,30.0,1
95141,-37.915453,145.048537,20 Windsor Avenue,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,1.0370826259592318,30.0,1
94705,-37.919905,145.028133,12 Sunnyside Grove,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,0.8257697976552083,30.0,1
95639,-37.924503,145.044434,36 London Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.7903584222241958,32.0,1
94766,-37.926156,145.037789,136 Patterson Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.2324300411906599,32.0,1
94996,-37.917662,145.041494,183 Jasper Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,0.3959626914815839,30.0,1
96252,-37.93275,145.044503,8 Rosina Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19937,0.7047046871318788,34.0,1
95977,-37.919606,145.045286,564 Centre Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,0.7675016649209297,30.0,1
95487,-37.922957,145.0453,30 Higgins Road,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.8970025760870112,32.0,1
95868,-37.927029,145.03656,5 Ardwick Street,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19938,0.23007291972786667,32.0,1
96026,-37.918077,145.023955,6 Hardy Court,BENTLEIGH,5799.0,3228.0,Glen Eira,17630.0,72%,"$1,538","$1,649,200",HOBSONS BAY,19939,1.1474508890412942,30.0,1
